id,name,type,effects,ailment,flavor,location,thc,cbd,Citrus,Sweet,Earthy,Pine,Skunk,Berry,Lemon,Lime,Blueberry,Strawberry,Mango,Rose,Pepper,Depression,Pain,Insomnia,Stress,Lack of Appetite,Muscle Spasms,Nausea,Inflammation,Relaxed,Happy,Euphoric,Uplifted,Sleepy,Dry Mouth,Focused,Energetic,Paranoid,Anxious,Hungry,Talkative,Creative
1,100 OG,Hybrid,Focused,Depression,Citrus,,127,16,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2,707 Headband,Hybrid,,,,,127,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Afghani Bullrider,Hybrid,"Uplifted, Relaxed, Happy, Euphoric, Dry Mouth, Paranoid","Stress, Depression, Insomnia, Pain","Sweet, Pine, Earthy",,127,0,False,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,True,False,False,True,False,False,False,False
7,Afghan Diesel,Hybrid,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Afghan Kush,Hybrid,,,,"Yucca Valley, CA",1300,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Afghanica,Hybrid,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Afwreck,Hybrid,,,,,127,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Agent Orange,Hybrid,,,,,127,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,AK-47,Hybrid,,,,,127,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,AK-48,Hybrid,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Alien Kush,Hybrid,,,Earthy,,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,
20,Aloha,Hybrid,"Energetic, Uplifted, Happy, Creative, Focused, Dry Mouth, Anxious","Depression, Stress, Pain","Sweet, Citrus",,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,True,False,True,False,True,True,True,False,True,False,False,True
21,Alohaberry,Hybrid,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Ambrosia,Hybrid,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Amethyst,Hybrid,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Amnesia Haze,Hybrid,"Happy, Uplifted, Euphoric, Energetic, Creative, Dry Mouth, Paranoid, Anxious","Stress, Depression, Pain","Citrus, Lemon, Earthy",,0,0,True,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,True,True,True,False,True,False,True,True,True,False,False,True
26,Apollo 11,Hybrid,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Arabian Gold,Hybrid,"Euphoric, Tingly, Sleepy, Creative, Paranoid","Stress, Insomnia, Pain",,,0,0,,,,,,,,,,,,,,False,True,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True
28,Arjan's Strawberry Haze,Hybrid,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Atomic Northern Lights,Hybrid,,,,", CA",1100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,A-Train,Hybrid,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Avalon,Hybrid,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Banana Diesel,Hybrid,,,,,127,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Banana Kush,Hybrid,,,,"Lake Forest, CA",1700,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,BC Roadkill,Hybrid,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,BC Sweet Tooth,Hybrid,"Uplifted, Happy, Relaxed, Sleepy, Euphoric, Dry Mouth, Paranoid","Stress, Insomnia, Depression, Nausea, Pain","Sweet, Honey",,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False
36,Berkeley,Hybrid,"Talkative, Happy, Uplifted, Energetic, Focused, Anxious, Dry Mouth, Paranoid","Stress, Depression, Lack of Appetite, Pain","Citrus, Sweet",,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False,True,False,True,False,True,True,True,True,True,False,True,False
37,Berry White,Hybrid,"Relaxed, Happy, Euphoric, Uplifted, Sleepy, Dry Mouth, Paranoid, Anxious","Stress, Pain, Depression, Insomnia","Berry, Sweet, Blueberry","Sherman Oaks, CA",1600,0,False,True,False,False,False,True,False,False,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,False,True,True,False,False,False
38,Big Bud,Hybrid,"Relaxed, Sleepy, Hungry, Happy, Euphoric, Dry Mouth, Paranoid","Stress, Pain, Insomnia, Depression, Muscle Spasms",Earthy,,127,0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,True,False,False,True,True,True,False,True,True,False,False,True,False,True,False,False
39,Big Budda Cheese,Hybrid,,,,,127,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Big Wreck,Hybrid,"Euphoric, Relaxed, Uplifted, Tingly, Happy, Dry Mouth, Paranoid","Stress, Insomnia, Depression, Lack of Appetite, Muscle Spasms",Earthy,,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,False,False,True,True,True,True,False,True,False,False,True,False,False,False,False
41,Black Dhalia,Hybrid,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Black Diesel,Hybrid,,,,,127,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Black Domina,Hybrid,"Relaxed, Sleepy, Euphoric, Happy, Uplifted, Dry Mouth, Paranoid","Stress, Depression, Pain, Insomnia, Lack of Appetite","Pine, Pepper",,127,0,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False
44,Black Jack,Hybrid,,,,"Pomona, CA",1800,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Black Widow,Hybrid,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Blackberry,Hybrid,,,,"Lake Forest, CA",1300,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Blackberry Kush,Hybrid,"Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Paranoid, Anxious","Stress, Pain, Insomnia, Depression, Nausea","Berry, Sweet, Earthy",", CA",1300,0,False,True,True,False,False,True,False,False,False,False,False,False,False,True,True,True,True,False,False,True,False,True,True,True,False,True,True,False,False,True,True,True,False,False
50,Blockhead,Hybrid,,,,,127,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Blue Bayou,Hybrid,"Uplifted, Creative, Happy, Sleepy, Dry Mouth","Nausea, Stress, Depression",Sweet,,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,True,True,False,False,False,False,False,False,True
52,Blue Champagne,Hybrid,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Blue Cheese,Hybrid,"Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Anxious","Stress, Insomnia, Pain, Depression",Blueberry,,127,0,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False,True,False,False,False
54,Blue Crack,Hybrid,,,,,127,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Blue Diesel,Hybrid,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Blue Dragon,Hybrid,,,,,127,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Blue Dream,Hybrid,,,,"Los Angeles, CA",2000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Blue Goo,Hybrid,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Blue Mystic,Hybrid,"Relaxed, Happy, Uplifted, Sleepy, Dry Mouth, Paranoid, Anxious","Stress, Depression, Nausea","Blueberry, Earthy, Sweet",,0,0,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,True,True,False,True,True,True,False,False,True,True,False,False,False
60,Blue OG,Hybrid,,,,,127,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Blue Rhino,Hybrid,,,,,127,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Blue Satellite,Hybrid,"Happy, Energetic, Horny, Uplifted, Euphoric, Dry Mouth, Paranoid","Stress, Pain, Nausea, Inflammation","Sweet, Blueberry",,0,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,True,True,True,False,True,False,True,True,False,False,False,False
63,Blue Train,Hybrid,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Blue Widow,Hybrid,,,,,127,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Blueberry,Hybrid,"Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Paranoid, Anxious","Stress, Pain, Depression, Insomnia, Lack of Appetite","Blueberry, Sweet, Berry","Lakeside, CA",1600,0,False,True,False,False,False,True,False,False,True,False,False,False,False,True,True,True,True,True,False,False,False,True,True,True,True,True,True,False,False,True,True,False,False,False
66,Blueberry Diesel,Hybrid,,,,,127,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Blueberry Haze,Hybrid,,,,"6150 White Oak Lane, CA",1200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Blueberry Headband,Hybrid,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Boysenberry,Hybrid,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Brainstorm Haze,Hybrid,"Talkative, Happy, Uplifted, Focused, Energetic, Dry Mouth, Anxious","Pain, Muscle Spasms, Stress, Depression, Nausea","Sweet, Earthy",,0,0,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,True,True,False,False,True,False,True,False,True,True,True,False,True,False,True,False
72,Broke Diesel,Hybrid,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Bruce Banner,Hybrid,,,,"Richmond, CA",1900,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Bubba Kush,Hybrid,"Relaxed, Happy, Sleepy, Euphoric, Hungry, Dry Mouth, Anxious, Paranoid","Pain, Stress, Insomnia, Depression, Lack of Appetite","Earthy, Sweet","Los Angeles, CA",1800,0,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,True,True,True,False,True,True,False,False,True,True,True,False,False
75,Bubba OG,Hybrid,"Relaxed, Happy, Sleepy, Uplifted, Euphoric, Dry Mouth, Paranoid","Stress, Pain, Depression, Insomnia, Nausea","Earthy, Sweet","Los Angeles, CA",1600,0,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False
76,Bubble Gum,Hybrid,,,,"Bakersfield, CA",600,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Bubbleberry,Hybrid,,,,,127,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Bubblegun,Hybrid,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Buddha's Sister,Hybrid,,,,,127,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Burmese Kush,Hybrid,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,C13 Haze,Hybrid,"Euphoric, Creative, Uplifted, Energetic, Dry Mouth, Paranoid","Pain, Stress, Muscle Spasms, Depression, Nausea","Earthy, Lemon",,0,0,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,True,True,False,False,False,True,True,False,True,False,True,True,False,False,False,True
83,Cannadential,Hybrid,,,,,127,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Cannalope Haze,Hybrid,"Happy, Relaxed, Focused, Uplifted, Euphoric, Dry Mouth, Paranoid, Anxious","Depression, Stress, Pain, Nausea","Sweet, Lime",,127,0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,True,False,True,True,True,True,False,True,True,False,True,True,False,False,False
85,Carmelicious,Hybrid,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Casey Jones,Hybrid,"Euphoric, Energetic, Uplifted, Happy, Talkative, Dry Mouth, Paranoid, Anxious","Depression, Stress, Pain, Inflammation","Sweet, Earthy",,127,0,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,False,True,True,True,False,True,False,True,True,True,False,True,False
87,Cat Piss,Hybrid,"Happy, Energetic, Creative, Uplifted, Euphoric, Dry Mouth, Paranoid, Anxious","Stress, Depression, Pain, Lack of Appetite","Ammonia, Earthy",,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False,True,True,True,False,True,False,True,True,True,False,False,True
88,Cataract Kush,Hybrid,,,,"Upland, CA",1400,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Champagne,Hybrid,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Cheese,Hybrid,,,,", CA",1300,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Chemdawg,Hybrid,,,,"Los Angeles, CA",1700,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Chemdawg #4,Hybrid,,,,,127,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Chernobyl,Hybrid,,,,"Pomona, CA",1700,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Cherry AK-47,Hybrid,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Cherry Bomb,Hybrid,,,,,127,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Chocolate Kush,Hybrid,"Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Paranoid","Stress, Pain, Insomnia, Lack of Appetite","Earthy, Coffee, Sweet",,0,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,True,True,True,False,True,True,False,False,True,False,True,False,False
101,Church OG,Hybrid,"Relaxed, Happy, Uplifted, Creative, Horny, Dry Mouth, Paranoid","Stress, Depression, Pain, Insomnia","Earthy, Citrus",,127,20,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,True,True,False,True,False,True,False,False,True,False,False,False,True
103,Citrus Kush,Hybrid,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Connie Chung,Hybrid,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Cotton Candy Kush,Hybrid,,,,,127,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Cracker Jack,Hybrid,"Uplifted, Energetic, Focused, Creative, Talkative, Dry Mouth, Paranoid","Stress, Depression, Lack of Appetite, Nausea",Citrus,,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,True,False,False,False,False,True,False,True,True,True,True,False,False,True,True
107,Critical Mass,Hybrid,"Relaxed, Happy, Sleepy, Uplifted, Focused, Dry Mouth, Anxious, Paranoid","Stress, Pain, Depression, Insomnia, Inflammation","Earthy, Sweet",,0,0,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,True,True,True,False,True,True,True,True,False,True,True,False,False,False
108,Dairy Queen,Hybrid,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Death Star,Hybrid,"Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Anxious, Paranoid","Stress, Pain, Depression, Insomnia, Nausea",Earthy,,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,True,False,True,True,True,True,True,True,False,False,True,True,False,False,False
111,Deep Purple,Hybrid,"Relaxed, Euphoric, Sleepy, Happy, Tingly, Dry Mouth, Anxious","Stress, Pain, Depression, Insomnia, Lack of Appetite","Grape, Earthy, Sweet",,127,0,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,True,True,True,False,True,True,False,False,False,True,False,False,False
112,Diablo,Hybrid,"Relaxed, Happy, Euphoric, Uplifted, Sleepy, Dry Mouth, Anxious, Paranoid","Stress, Pain, Insomnia, Depression, Inflammation",Earthy,"Los Angeles, CA",1700,0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,True,True,True,True,True,True,True,False,False,True,True,False,False,False
113,Diesel Duff,Hybrid,,,,,127,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Domino,Hybrid,"Sleepy, Happy, Tingly, Uplifted, Euphoric, Dry Mouth","Stress, Insomnia, Depression, Pain, Muscle Spasms",,,0,0,,,,,,,,,,,,,,True,True,True,True,False,True,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False
117,Double Diesel,Hybrid,"Creative, Happy, Focused, Energetic, Euphoric, Dry Mouth, Paranoid","Depression, Stress, Pain, Insomnia","Lime, Citrus",,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,False,False,False,False,False,True,True,False,False,True,True,True,True,False,False,False,True
118,Dream Queen,Hybrid,,,,"Richmond, CA",1200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Durban Cheese,Hybrid,,,,,127,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Dutch Treat,Hybrid,,,,,127,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Earthquake,Hybrid,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Ed Rosenthal Super Bud,Hybrid,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,El Jeffe,Hybrid,,,,,127,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,El Nino,Hybrid,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Euphoria,Hybrid,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Exodus Cheese,Hybrid,,,,"San Juan Capistrano, CA",500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Fire OG,Hybrid,,,,", CA",2000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Flo,Hybrid,,,,,127,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Fruity Pebbles,Hybrid,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Fucking Incredible,Hybrid,"Relaxed, Euphoric, Happy, Uplifted, Dry Mouth, Paranoid, Anxious","Pain, Stress, Depression, Insomnia","Skunk, Earthy",,0,0,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,True,False,False,True,True,False,False,False
136,G-13,Hybrid,,,,,127,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,G13 Haze,Hybrid,,,,,127,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,God Bud,Hybrid,"Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Paranoid, Anxious","Stress, Pain, Depression, Inflammation, Insomnia","Earthy, Sweet",,0,0,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,True,True,True,True,True,True,True,False,False,True,True,False,False,False
140,God's Gift,Hybrid,,,,,127,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
